gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,45.86,647.78,Yes
Female,0,No,No,21,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),119.28,2648.03,No
Female,0,No,No,17,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,92.03,1590.0,No
Male,0,Yes,No,56,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,63.4,3219.43,No
Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,110.27,5289.99,No
Female,0,Yes,No,7,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,34.44,229.67,No
Female,0,No,No,50,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),48.79,2624.76,No
Female,0,Yes,No,60,No,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),115.59,7486.77,Yes
Male,0,Yes,No,7,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,75.7,480.56,No
Female,1,No,No,40,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,112.07,4699.24,Yes
Male,1,Yes,No,45,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,118.42,4923.75,No
Female,1,Yes,Yes,59,No,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),56.02,3497.49,No
Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,77.65,4565.95,No
Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,104.67,6108.37,Yes
Male,1,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,47.27,2965.79,No
Female,0,Yes,No,54,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),64.68,3408.68,No
Male,0,Yes,No,40,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,35.33,1541.84,Yes
Female,0,No,No,53,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),85.25,4401.61,Yes
Male,0,Yes,No,44,Yes,Yes,No,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),20.42,854.63,Yes
Female,1,Yes,No,63,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),64.93,4188.52,Yes
Male,0,Yes,Yes,2,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,No,One year,No,Bank transfer (automatic),112.91,210.41,No
Male,0,No,No,21,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),109.73,2361.98,No
Female,0,No,No,50,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,100.38,4977.42,No
Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,34.12,1856.37,No
Female,1,No,No,9,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),72.03,658.49,No
Female,0,Yes,Yes,20,Yes,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),91.91,1719.3,No
Female,0,Yes,Yes,18,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,30.12,589.59,No
Female,1,No,Yes,30,Yes,No,DSL,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,34.7,1030.34,No
Female,0,Yes,No,65,Yes,No phone service,DSL,No,No,No,No internet service,Yes,No,Two year,No,Electronic check,24.01,1636.99,No
Female,0,No,No,24,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,52.31,1263.46,No
Female,0,Yes,No,47,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),107.73,5433.21,No
Female,0,No,No,44,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,70.75,3011.53,No
Female,0,Yes,No,29,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),105.33,3139.4,No
Female,0,No,No,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,28.37,1766.87,Yes
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.61,398.6,Yes
Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,100.39,536.44,Yes
Male,1,Yes,No,50,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Mailed check,69.78,3711.16,No
Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Mailed check,67.09,2608.08,No
Female,0,Yes,No,46,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),67.56,3217.16,Yes
Female,0,No,No,51,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Mailed check,58.11,3158.61,No
Female,0,Yes,No,11,No,Yes,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,108.64,1109.92,No
Female,0,Yes,Yes,12,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,72.1,949.08,No
Female,1,No,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),117.39,1643.84,No
Female,1,Yes,No,64,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),104.65,6953.34,No
Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),93.76,756.56,No
Male,1,No,Yes,65,No,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),83.62,5864.61,No
Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),103.52,976.28,No
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,108.17,220.01,Yes
Female,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Electronic check,33.32,467.08,No
Female,1,No,No,2,Yes,No phone service,No,No,Yes,Yes,No,No internet service,No,One year,No,Mailed check,55.97,105.46,No
Male,0,Yes,Yes,68,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),100.54,6487.19,Yes
Female,0,No,Yes,48,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,42.13,2196.2,No
Male,0,No,Yes,3,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,78.62,215.44,Yes
Female,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),98.05,6062.21,Yes
Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),42.39,269.19,Yes
Male,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,60.2,295.82,Yes
Female,1,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,111.51,362.38,No
Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.6,533.84,No
Female,1,Yes,No,43,Yes,No phone service,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),80.47,3312.97,Yes
Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,63.38,1314.34,No
Male,1,No,Yes,14,Yes,No,DSL,No internet service,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),107.7,1524.01,No
Female,0,No,No,21,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),62.41,1340.42,No
Female,0,No,No,43,Yes,No,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,55.92,2596.0,No
Male,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),37.33,1020.33,No
Female,1,Yes,No,21,No,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),54.92,1095.16,No
Female,0,Yes,No,36,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),86.96,3175.06,No
Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,37.58,885.69,Yes
Male,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),90.54,4560.21,No
Male,0,No,No,38,Yes,No,DSL,Yes,No,No internet service,No,No,No internet service,One year,No,Electronic check,21.06,739.23,No
Male,0,Yes,No,17,No,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,56.7,1007.36,No
Male,0,Yes,Yes,22,No,No,DSL,No internet service,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),66.59,1328.5,No
Male,1,Yes,Yes,45,Yes,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,29.61,1339.79,No
Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,88.41,5209.27,Yes
Male,0,No,No,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,30.28,309.82,No
Male,0,No,No,61,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),29.0,1907.22,No
Male,1,No,No,38,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),56.79,2261.84,No
Female,1,No,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.83,6531.03,No
Male,0,Yes,No,33,Yes,No,No,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),116.37,3790.97,No
Female,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Two year,Yes,Electronic check,97.6,4321.32,No
Female,0,No,No,31,Yes,No,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),66.6,1895.53,No
Female,0,No,No,35,No,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.26,1534.77,No
Male,1,Yes,No,37,No,No,No,No,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,50.14,1789.35,No
Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,48.37,2254.19,No
Male,0,No,No,23,Yes,No,No,Yes,No,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),47.83,1010.72,No
Male,0,No,No,36,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,26.91,981.35,No
Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.04,1594.09,No
Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),30.79,487.21,No
Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.74,690.71,Yes
Male,0,Yes,Yes,4,No,No,Fiber optic,No,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),48.56,208.46,No
Male,1,Yes,Yes,22,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,55.22,1271.35,No
Male,0,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,112.74,2503.18,No
Female,0,Yes,No,17,Yes,No,No,No,No internet service,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),119.48,2127.65,No
Male,0,No,Yes,72,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.94,5459.69,No
Female,0,No,Yes,38,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,110.1,3901.47,No
Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,81.82,1770.89,No
Female,0,No,No,6,No,No,Fiber optic,No,No internet service,Yes,Yes,No,Yes,One year,No,Electronic check,69.76,422.62,Yes
Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,24.27,1581.69,No
Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,No,Electronic check,24.46,138.33,Yes
Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),23.08,644.13,Yes
Female,1,Yes,No,41,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.01,1500.05,No
Female,0,Yes,No,38,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),27.69,1155.37,No
Male,1,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,39.47,1752.05,No
Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,71.92,4113.17,No
Male,0,No,No,15,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No internet service,One year,No,Bank transfer (automatic),70.32,974.28,No
Male,0,Yes,No,56,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),54.42,3183.29,No
Female,0,Yes,No,56,Yes,Yes,No,No internet service,No,No,Yes,No,Yes,One year,Yes,Mailed check,86.6,4448.27,No
Female,0,Yes,No,31,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,59.19,1686.11,Yes
Male,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,42.02,2566.55,No
Male,0,Yes,No,51,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.22,4422.89,No
Female,1,No,Yes,24,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,No,One year,No,Electronic check,118.02,2728.49,No
Female,0,No,Yes,58,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,101.07,5491.32,No
Female,1,No,Yes,4,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,61.41,244.9,No
Male,0,No,No,10,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),57.57,541.57,No
Male,0,Yes,No,63,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,23.86,1514.56,No
Male,0,Yes,No,15,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,85.71,1326.9,Yes
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),42.26,2744.87,No
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),88.35,1633.21,Yes
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,96.02,6296.12,Yes
Female,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,One year,No,Mailed check,107.98,5763.99,No
Male,0,No,No,21,Yes,No,DSL,No,Yes,No,No,No internet service,No,Two year,No,Mailed check,74.83,1668.13,No
Male,0,Yes,No,34,Yes,Yes,No,No internet service,No,No,Yes,Yes,Yes,One year,No,Mailed check,103.0,3151.88,No
Male,1,No,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),92.32,1715.89,No
Female,1,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,One year,No,Mailed check,55.3,982.18,No
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,30.64,1955.1,Yes
Male,0,Yes,Yes,51,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Mailed check,44.22,2311.37,No
Female,0,Yes,Yes,65,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),104.46,7304.71,Yes
Male,0,No,No,43,Yes,No,DSL,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.44,3064.81,No
